genotype	group
A0076	C1
A0380	C1
A0654	C1
A0660_BERGERON	C1
A0682_MORDEN_604	C1
A0804	C1
A0862	C1
A0882	C1
A0892	C1
A1236	C1
A1314	C1
A1343	C1
A1711	C1
A1727	C1
A1729	C1
A1731	C1
A1793	C1
A1939	C1
A2065	C1
A2067	C1
A2069	C1
A2204	C1
A2241	C1
A2243	C1
A2265	C1
A2340	C1
A2343	C1
A2346	C1
A2358	C1
A2360	C1
A2388	C1
A2458	C1
A2481	C1
A2490	C1
A4034L	C1
Bulida	C1
CURROT	C1
Krasnoshchekii	C1
Mandorla_Dolce	C1
PAz0018b	C1
PAz0103b	C1
PAz0105b	C1
PAz0207b	C1
PAz0225b	C1
PAz0292b	C1
PAz0521b	C1
PAz0581b	C1
PAz0716b	C1
PAz0950b	C1
Velasques	C1
CH_124	W2
CH_138	W2
CH122	W2
CH128	W2
KR_137_1	W2
KR_142_1	W2
KR_165_1	W2
KR_175_1	W2
KR119_1	W2
KR183_1	W2
KR186_1	W2
KR190_1	W2
KR192_1	W2
KZ_007_1	W2
KZ_009_1	W2
KZ_066_1	W2
KZ_109	W2
KZ_115_3	W2
KZ_117_1	W2
KZ_122_1	W2
KZ_123_2	W2
KZ_130_1	W2
KZ_151_4	W2
KZ_152_2	W2
Kz_159_1	W2
Kz_182_1	W2
Kz_187_1	W2
Kz_197_1	W2
Kz_204_1	W2
Kz_233_1	W2
Kz_239_1	W2
kz_241_1	W2
Kz_243_1	W2
Kz_245_1	W2
Kz_260_1	W2
Kz_261_1	W2
Kz_263_1	W2
Kz_272_1	W2
Kz_273_1	W2
Kz_276_1	W2
KZ_82_1	W2
KZ147_1	W2
KZ40_4	W2
CH158	CH
CH159	CH
CH178	CH
CH192	CH
CH198	CH
CH199	CH
CH203-2	CH
CH209	CH
CH222	CH
CH224	CH
KR_004_1	W1
KR_008_1	W1
KR_011_1	W1
KR_012_1	W1
KR_013_1	W1
KR_014_1	W1
KR_015_1	W1
KR_073_1	W1
KR_075_1	W1
KR_077_1	W1
KR_080_1	W1
KR_082_1	W1
KR_102_1	W1
KR_104_1	W1
KR_105_1	W1
KR_107_1	W1
KR_110_1	W1
KR_111_1	W1
KR_112_1	W1
KR_113_1	W1
KR_114_1	W1
KR72_1	W1
KR76_1	W1
KR78_1	W1
KR79_1	W1
KR81_1	W1
KR83_1	W1
KR87_1	W1
KR88_1	W1
KR89_1	W1
KR90_1	W1
KR91_1	W1
KR92_1	W1
CH_229_1	W4
CH_231_1	W4
CH_232_2	W4
CH_234_1	W4
CH_235_1	W4
CH_239_1	W4
CH_240_1	W4
CH_241_2	W4
CH_246_2	W4
CH_247_1	W4
CH_248_1	W4
CH_249_4	W4
CH_250_1	W4
CH_253_3	W4
CH_254_2	W4
CH_255_1	W4
CH_256_2	W4
CH_257_1	W4
CH_258_1	W4
CH_259_1	W4
CH_299_1	W4
CH_322_5	W4
CH_327_1	W4
